index,subset,utt_num,text,pronounce,monophone
0,a,a01,あらゆる現実を、すべて自分のほうへねじ曲げたのだ。,あらゆるげんじつを、すべてじぶんのほーえねじまげたのだ。,a r a y u r u g e N j i ts u o # s u b e t e j i b u N n o h o: e n e j i m a g e t a n o d a
1,a,a02,一週間ばかり、ニューヨークを取材した。,いっしゅーかんばかり、にゅーよーくをしゅざいした。,i q sh u: k a N b a k a r i # ny u: y o: k u o sh u z a i sh i t a
2,a,a03,テレビゲームやパソコンで、ゲームをして遊ぶ。,てれびげーむやぱそこんで、げーむをしてあそぶ。,t e r e b i g e: m u y a p a s o k o N d e # g e: m u o sh i t e a s o b u
3,a,a04,物価の変動を考慮して、給付水準を決める必要がある。,ぶっかのへんどーをこーりょして、きゅーふすいじゅんをきめるひつよーがある。,b u q k a n o h e N d o: o k o: ry o sh i t e # ky u: f u s u i j u N o k i m e r u h i ts u y o: g a a r u
4,a,a05,救急車が十分に動けず、救助作業が遅れている。,きゅうきゅうしゃがじゅーぶんにうごけず、きゅーじょさぎょーがおくれている。,ky u u ky u u sh a g a j u: b u N n i u g o k e z u # ky u: j o s a gy o: g a o k u r e t e i r u
5,a,a06,言論の自由は、一歩譲れば、百歩も千歩も攻め込まれる。,げんろんのじゆーわ、いっぽゆずれば、ひゃっぽもせんぽもせめこまれる。,g e N r o N n o j i y u: w a # i q p o y u z u r e b a # hy a q p o m o s e N p o m o s e m e k o m a r e r u
6,a,a07,会場の周辺には、原宿駅や、代々木駅もあるし、ちょっと歩けば、新宿御苑駅もある。,かいじょーのしゅーへんにわ、はらじゅくえきや、よよぎえきもあるし、ちょっとあるけば、しんじゅくぎょえんえきもある。,k a i j o: n o sh u: h e N n i w a # h a r a j u k u e k i y a # y o y o g i e k i m o a r u sh i # ch o q t o a r u k e b a # sh i N j u k u gy o e N e k i m o a r u
7,a,a08,老人ホームの場合は、健康器具や、ひざ掛けだ。,ろーじんほーむのばあいわ、けんこーきぐや、ひざかけだ。,r o: j i N h o: m u n o b a a i w a # k e N k o: k i g u y a # h i z a k a k e d a
8,a,a09,ちょっと遅い昼食をとるため、ファミリーレストランに入ったのです。,ちょっとおそいちゅーしょくをとるため、ふぁみりーれすとらんにはいったのです。,ch o q t o o s o i ch u: sh o k u o t o r u t a m e # f a m i r i: r e s u t o r a N n i h a i q t a n o d e s u
9,a,a10,嬉しいはずが、ゆっくり寝てもいられない。,うれしいはずが、ゆっくりねてもいられない。,u r e sh i i h a z u g a # y u q k u r i n e t e m o i r a r e n a i
10,a,a11,自然の研究者は、自然をねじ伏せようとしてはいけない。,しぜんのけんきゅうしゃわ、しぜんをねじふせようとしてわいけない。,sh i z e N n o k e N ky u u sh a w a # sh i z e N o n e j i f u s e y o u t o sh i t e w a i k e n a i
11,a,a12,おごりを捨て、謙虚な姿勢を取り戻さねば、冬は過ごせない。,おごりをすて、けんきょなしせいをとりもどさねば、ふゆわすごせない。,o g o r i o s u t e # k e N ky o n a sh i s e i o t o r i m o d o s a n e b a # f u y u w a s u g o s e n a i
12,a,a13,先だって、ごく短期間だが、久方ぶりに、ヨーロッパへ行った。,せんだって、ごくたんきかんだが、ひさかたぶりに、よーろっぱえいった。,s e N d a q t e # g o k u t a N k i k a N d a g a # h i s a k a t a b u r i n i # y o: r o q p a e i q t a
13,a,a14,しかし、このプロ野球ブームも、永久に続くとは限らぬ。,しかし、このぷろやきゅーぶーむも、えいきゅーにつずくとわかぎらぬ。,sh i k a sh i # k o n o p u r o y a ky u: b u: m u m o # e i ky u: n i ts u z u k u t o w a k a g i r a n u
14,a,a15,お客さんは、それじゃあ練習さえすれば、誰にでも出来るんじゃないかなっ、て考え始めるよ。,おきゃくさんわ、それじゃーれんしゅーさえすれば、だれにでもできるんじゃないかなっ、てかんがえはじめるよ。,o ky a k u s a N w a # s o r e j a: r e N sh u: s a e s u r e b a # d a r e n i d e m o d e k i r u N j a n a i k a n a q # t e k a N g a e h a j i m e r u y o
15,a,a16,アフリカ人は、実に巧みに、ぴゅんとつばを吐く。,あふりかじんわ、じつにたくみに、ぴゅんとつばをはく。,a f u r i k a j i N w a # j i ts u n i t a k u m i n i # py u N t o ts u b a o h a k u
16,a,a17,前者を、普遍文化と呼び、後者を、個別文化と呼ぶことにする。,ぜんしゃを、ふへんぶんかとよび、こーしゃを、こべつぶんかとよぶことにする。,z e N sh a o # f u h e N b u N k a t o y o b i # k o: sh a o # k o b e ts u b u N k a t o y o b u k o t o n i s u r u
17,a,a18,叔父さんは、岬の一軒家に独りぼっちで住んでいた。,おじさんわ、みさきのいっけんやにひとりぼっちですんでいた。,o j i s a N w a # m i s a k i n o i q k e N y a n i h i t o r i b o q ch i d e s u N d e i t a
18,a,a19,立春が過ぎても、厳しい寒さの日々が続く。,りっしゅんがすぎても、きびしいさむさのひびがつずく。,r i q sh u N g a s u g i t e m o # k i b i sh i i s a m u s a n o h i b i g a ts u z u k u
19,a,a20,大昔のフィリピンには、豊かな土地があった。,おーむかしのふぃりぴんにわ、ゆたかなとちがあった。,o: m u k a sh i n o f i r i p i N n i w a # y u t a k a n a t o ch i g a a q t a
20,a,a21,旅館やホテルに着くと、非常口を尋ねる。,りょかんやほてるにつくと、ひじょーぐちをたずねる。,ry o k a N y a h o t e r u n i ts u k u t o # h i j o: g u ch i o t a z u n e r u
21,a,a22,やるべきことはやっており、なんら、落ち度はない。,やるべきことわやっており、なんら、おちどわない。,y a r u b e k i k o t o w a y a q t e o r i # n a N r a # o ch i d o w a n a i
22,a,a23,私は、上着を脱ぎ、石組みの上に両手をついて、うつ伏せになった。,わたしわ、うわぎをぬぎ、いしぐみのうえにりょーてをついて、うつぶせになった。,w a t a sh i w a # u w a g i o n u g i # i sh i g u m i n o u e n i ry o: t e o ts u i t e # u ts u b u s e n i n a q t a
23,a,a24,外人サンは、完璧主義である。,がいじんさんわ、かんぺきしゅぎである。,g a i j i N s a N w a # k a N p e k i sh u g i d e a r u
24,a,a25,人間とは、微妙で、複雑な生き物である。,にんげんとわ、びみょーで、ふくざつないきものである。,n i N g e N t o w a # b i my o: d e # f u k u z a ts u n a i k i m o n o d e a r u
25,a,a26,ここ一ヶ月は、ほとんど不眠不休の徹夜続きで、目が腫れ上がっている。,ここいっかげつわ、ほとんどふみんふきゅーのてつやつずきで、めがはれあがっている。,k o k o i q k a g e ts u w a # h o t o N d o f u m i N f u ky u: n o t e ts u y a ts u z u k i d e # m e g a h a r e a g a q t e i r u
26,a,a27,午前八時、健康な捕虜は、作業所へ、トラックで出発する。,ごぜんはちじ、けんこーなほりょわ、さぎょーしょえ、とらっくでしゅっぱつする。,g o z e N h a ch i j i # k e N k o: n a h o ry o w a # s a gy o: sh o e # t o r a q k u d e sh u q p a ts u s u r u
27,a,a28,見上げるフジもいいが、路地植え、また、鉢植えの花もきれいです。,みあげるふじもいいが、ろじうえ、また、はちうえのはなもきれいです。,m i a g e r u f u j i m o i i g a # r o j i u e # m a t a # h a ch i u e n o h a n a m o k i r e i d e s u
28,a,a29,母は、脳血栓の後遺症で、老人性痴呆症になり、一年前から入院中です。,ははわ、のーけっせんのこーいしょーで、ろーじんせいちほーしょーになり、いちねんまえからにゅーいんちゅーです。,h a h a w a # n o: k e q s e N n o k o: i sh o: d e # r o: j i N s e i ch i h o: sh o: n i n a r i # i ch i n e N m a e k a r a ny u: i N ch u: d e s u
29,a,a30,パジャマとティーシャツがめくれて、薄い肋骨の下に、ぺちゃんこの腹が見えた。,ぱじゃまとてぃーしゃつがめくれて、うすいろっこつのしたに、ぺちゃんこのはらがみえた。,p a j a m a t o t i: sh a ts u g a m e k u r e t e # u s u i r o q k o ts u n o sh i t a n i # p e ch a N k o n o h a r a g a m i e t a
30,a,a31,また、襟や、袖口ポケット口などが、油汚れで変色を起こすこともあります。,また、えりや、そでぐちぽけっとぐちなどが、あぶらよごれでへんしょくをおこすこともあります。,m a t a # e r i y a # s o d e g u ch i p o k e q t o g u ch i n a d o g a # a b u r a y o g o r e d e h e N sh o k u o o k o s u k o t o m o a r i m a s u
31,a,a32,着用中に、ダウンやフェザーが飛び出す原因ともなります。,ちゃくよーちゅーに、だうんやふぇざーがとびだすげんいんともなります。,ch a k u y o: ch u: n i # d a u N y a f e z a: g a t o b i d a s u g e N i N t o m o n a r i m a s u
32,a,a33,インタビューは、午後十時から始まり、途中で夕食をはさみ、延々、四時間に及んだ。,いんたびゅーわ、ごごじゅーじからはじまり、とちゅーでゆーしょくをはさみ、えんえん、よじかんにおよんだ。,i N t a by u: w a # g o g o j u: j i k a r a h a j i m a r i # t o ch u: d e y u: sh o k u o h a s a m i # e N e N # y o j i k a N n i o y o N d a
33,a,a34,効果を急ぐあまりの過度の練習は避け、ウォーミングアップも、念入りにやりましょう。,こーかをいそぐあまりのかどのれんしゅーわさけ、うぉーみんぐあっぷも、ねんいりにやりましょう。,k o: k a o i s o g u a m a r i n o k a d o n o r e N sh u: w a s a k e # w o: m i N g u a q p u m o # n e N i r i n i y a r i m a sh o u
34,a,a35,弟子に腕を支えられながら、最後まで引き続けた。,でしにうでをささえられながら、さいごまでひきつずけた。,d e sh i n i u d e o s a s a e r a r e n a g a r a # s a i g o m a d e h i k i ts u z u k e t a
35,a,a36,気管支ぜんそくや鼻炎も広まっている。,きかんしぜんそくやびえんもひろまっている。,k i k a N sh i z e N s o k u y a b i e N m o h i r o m a q t e i r u
36,a,a37,大ピラミッド近くに、二つの部屋が、埋まっていたのである。,だいぴらみっどちかくに、ふたつのへやが、うまっていたのである。,d a i p i r a m i q d o ch i k a k u n i # f u t a ts u n o h e y a g a # u m a q t e i t a n o d e a r u
37,a,a38,普通、中距離トラックのドライバーは、中年の人が多い。,ふつー、ちゅーきょりとらっくのどらいばーわ、ちゅーねんのひとがおーい。,f u ts u: # ch u: ky o r i t o r a q k u n o d o r a i b a: w a # ch u: n e N n o h i t o g a o: i
38,a,a39,自動車や、精密機械などで、技術系の採用を、抑えるところが目立ち、売り手市場の技術系にも、かげりが見え始めた。,じどーしゃや、せいみつきかいなどで、ぎじゅつけいのさいよーを、おさえるところがめだち、うりてしじょーのぎじゅつけいにも、かげりがみえはじめた。,j i d o: sh a y a # s e i m i ts u k i k a i n a d o d e # g i j u ts u k e i n o s a i y o: o # o s a e r u t o k o r o g a m e d a ch i # u r i t e sh i j o: n o g i j u ts u k e i n i m o # k a g e r i g a m i e h a j i m e t a
39,a,a40,ユーザーにも責任がある、との論理は、暴論と言わざるをえません。,ゆーざーにもせきにんがある、とのろんりわ、ぼーろんといわざるをえません。,y u: z a: n i m o s e k i n i N g a a r u # t o n o r o N r i w a # b o: r o N t o i w a z a r u o e m a s e N
40,a,a41,本書は、言葉の政治人類学といってもよい。,ほんしょわ、ことばのせいじじんるいがくといってもよい。,h o N sh o w a # k o t o b a n o s e i j i j i N r u i g a k u t o i q t e m o y o i
41,a,a42,節目にあわせて、本会議場を、半分にちょん切るとするか。,ふしめにあわせて、ほんかいぎじょーを、はんぶんにちょんぎるとするか。,f u sh i m e n i a w a s e t e # h o N k a i g i j o: o # h a N b u N n i ch o N g i r u t o s u r u k a
42,a,a43,首相自ら、国民一人一人、百ドル、舶来品を買うようにすすめた。,しゅしょーみずから、こくみんひとりひとり、ひゃくどる、はくらいひんをかうよーにすすめた。,sh u sh o: m i z u k a r a # k o k u m i N h i t o r i h i t o r i # hy a k u d o r u # h a k u r a i h i N o k a u y o: n i s u s u m e t a
43,a,a44,十進法は、両手の十本の指を数えることから起こった。,じゅっしんほーわ、りょーてのじゅっぽんのゆびをかぞえることからおこった。,j u q sh i N h o: w a # ry o: t e n o j u q p o N n o y u b i o k a z o e r u k o t o k a r a o k o q t a
44,a,a45,ワインと、日本酒とを問わず、原産地、成分表示を急ぐべきではないか。,わいんと、にほんしゅとをとわず、げんさんち、せいぶんひょーじをいそぐべきでわないか。,w a i N t o # n i h o N sh u t o o t o w a z u # g e N s a N ch i # s e i b u N hy o: j i o i s o g u b e k i d e w a n a i k a
45,a,a46,年齢はまだ十四だが、数えきれぬほど、日本の舞台を踏んだので、日本語はぺらぺらだそうだ。,ねんれいわまだとしだが、かぞえきれぬほど、にっぽんのぶたいをふんだので、にっぽんごわぺらぺらだそーだ。,n e N r e i w a m a d a t o sh i d a g a # k a z o e k i r e n u h o d o # n i q p o N n o b u t a i o f u N d a n o d e # n i q p o N g o w a p e r a p e r a d a s o: d a
46,a,a47,日本のエスペラントとして、やはり標準語は必要だ。,にっぽんのえすぺらんととして、やはりひょーじゅんごわひつよーだ。,n i q p o N n o e s u p e r a N t o t o sh i t e # y a h a r i hy o: j u N g o w a h i ts u y o: d a
47,a,a48,翌年、父の選挙を手伝って、遊説行脚のマネージャーを勤めた。,よくねん、ちちのせんきょをてつだって、ゆーぜいあんぎゃのまねーじゃーをつとめた。,y o k u n e N # ch i ch i n o s e N ky o o t e ts u d a q t e # y u: z e i a N gy a n o m a n e: j a: o ts u t o m e t a
48,a,a49,何もかもがたちまち腐り、指紋でよごれ、ぐにゃぐにゃになってしまうようだ。,なにもかもがたちまちくさり、しもんでよごれ、ぐにゃぐにゃになってしまうよーだ。,n a n i m o k a m o g a t a ch i m a ch i k u s a r i # sh i m o N d e y o g o r e # g u ny a g u ny a n i n a q t e sh i m a u y o: d a
49,a,a50,逆境に耐えたこのプロデューサーの作品には、ヒューマニズムが、脈々と息ずいている。,ぎゃっきょーにたえたこのぷろでゅーさーのさくひんにわ、ひゅーまにずむが、みゃくみゃくといきずいている。,gy a q ky o: n i t a e t a k o n o p u r o dy u: s a: n o s a k u h i N n i w a # hy u: m a n i z u m u g a # my a k u my a k u t o i k i z u i t e i r u
50,b,b01,予防や、健康管理、リハビリテーションのための制度を、充実していく必要があろう。,よぼーや、けんこーかんり、りはびりてーしょんのためのせいどを、じゅーじつしていくひつよーがあろう。,y o b o: y a # k e N k o: k a N r i # r i h a b i r i t e: sh o N n o t a m e n o s e i d o o # j u: j i ts u sh i t e i k u h i ts u y o: g a a r o u
51,b,b02,老若男女が、火を囲んで飲み、手をつないで歌う。,ろーにゃくなんにょが、ひをかこんでのみ、てをつないでうたう。,r o: ny a k u n a N ny o g a # h i o k a k o N d e n o m i # t e o ts u n a i d e u t a u
52,b,b03,出口のない、飛行中の航空機の異変は、恐怖の極限状況といってよい。,でぐちのない、ひこーちゅーのこーくーきのいへんわ、きょーふのきょくげんじょーきょーといってよい。,d e g u ch i n o n a i # h i k o: ch u: n o k o: k u: k i n o i h e N w a # ky o: f u n o ky o k u g e N j o: ky o: t o i q t e y o i
53,b,b04,わずかな収入をやりくりして、現金で、サービスを利用している。,わずかなしゅーにゅーをやりくりして、げんきんで、さーびすをりよーしている。,w a z u k a n a sh u: ny u: o y a r i k u r i sh i t e # g e N k i N d e # s a: b i s u o r i y o: sh i t e i r u
54,b,b05,難しい食事療法から、下痢の世話まで、二十四時間介護の日々が続いた。,むずかしいしょくじりょうほーから、げりのせわまで、にじゅーよんじかんかいごのひびがつずいた。,m u z u k a sh i i sh o k u j i ry o u h o: k a r a # g e r i n o s e w a m a d e # n i j u: y o N j i k a N k a i g o n o h i b i g a ts u z u i t a
55,b,b06,倒れて道路をふさぐ恐れがある、ブロック塀や、石塀を点検し、改善しておく。,たおれてどーろをふさぐおそれがある、ぶろっくべいや、いしべいをてんけんし、かいぜんしておく。,t a o r e t e d o: r o o f u s a g u o s o r e g a a r u # b u r o q k u b e i y a # i sh i b e i o t e N k e N sh i # k a i z e N sh i t e o k u
56,b,b07,ついで、財務省が、専門家を集めて、具体案を練った。,ついで、ざいむしょーが、せんもんかをあつめて、ぐたいあんをねった。,ts u i d e # z a i m u sh o: g a # s e N m o N k a o a ts u m e t e # g u t a i a N o n e q t a
57,b,b08,こういう絵が、やすやすと描けるはずはない。,こーゆうえが、やすやすとかけるはずわない。,k o: y u u e g a # y a s u y a s u t o k a k e r u h a z u w a n a i
58,b,b09,背の高さは一七〇センチほどで、目が大きく、やや太っている。,せのたかさわひゃくななじゅっせんちほどで、めがおーきく、ややふとっている。,s e n o t a k a s a w a hy a k u n a n a j u q s e N ch i h o d o d e # m e g a o: k i k u # y a y a f u t o q t e i r u
59,b,b10,なつかしいプロペラ機で、ふわりふわりと、地球を一周したところがすばらしい。,なつかしいぷろぺらきで、ふわりふわりと、ちきゅーをいっしゅーしたところがすばらしい。,n a ts u k a sh i i p u r o p e r a k i d e # f u w a r i f u w a r i t o # ch i ky u: o i q sh u: sh i t a t o k o r o g a s u b a r a sh i i
60,b,b11,よほど具合が悪くなければ、昼間、横になるなんて夢のまた夢だ。,よほどぐあいがわるくなければ、ひるま、よこになるなんてゆめのまたゆめだ。,y o h o d o g u a i g a w a r u k u n a k e r e b a # h i r u m a # y o k o n i n a r u n a N t e y u m e n o m a t a y u m e d a
61,b,b12,強風と、冷え込みの強い、神宮のグラウンドである。,きょーふーと、ひえこみのつよい、じんぐーのぐらうんどである。,ky o: f u: t o # h i e k o m i n o ts u y o i # j i N g u: n o g u r a u N d o d e a r u
62,b,b13,ぶらぶらと、球場まで十分足らずの道を歩いていく。,ぶらぶらと、きゅーじょーまでじゅっぷんたらずのみちをあるいていく。,b u r a b u r a t o # ky u: j o: m a d e j u q p u N t a r a z u n o m i ch i o a r u i t e i k u
63,b,b14,大声を出しすぎて、かすれ声になってしまう。,おーごえをだしすぎて、かすれごえになってしまう。,o: g o e o d a sh i s u g i t e # k a s u r e g o e n i n a q t e sh i m a u
64,b,b15,足し算引き算は出来なくても、絵は描ける。,たしざんひきざんわできなくても、えわえがける。,t a sh i z a N h i k i z a N w a d e k i n a k u t e m o # e w a e g a k e r u
65,b,b16,それをかばおうとして、右ひざと、ふくらはぎをやられた。,それをかばおうとして、みぎひざと、ふくらはぎをやられた。,s o r e o k a b a o u t o sh i t e # m i g i h i z a t o # f u k u r a h a g i o y a r a r e t a
66,b,b17,現地に着いて、いざというときおぶってくれる、原住民を頼んだが、これがピグミーであった。,げんちについて、いざとゆうときおぶってくれる、げんじゅーみんをたのんだが、これがぴぐみーであった。,g e N ch i n i ts u i t e # i z a t o y u u t o k i o b u q t e k u r e r u # g e N j u: m i N o t a n o N d a g a # k o r e g a p i g u m i: d e a q t a
67,b,b18,ゆらゆら電球が揺れて、影が、草の上をちらちらした。,ゆらゆらでんきゅーがゆれて、かげが、くさのうえをちらちらした。,y u r a y u r a d e N ky u: g a y u r e t e # k a g e g a # k u s a n o u e o ch i r a ch i r a sh i t a
68,b,b19,ぼくは、ほとんど夢中で、駅前の人ごみの間をすり抜けた。,ぼくわ、ほとんどむちゅーで、えきまえのひとごみのあいだをすりぬけた。,b o k u w a # h o t o N d o m u ch u: d e # e k i m a e n o h i t o g o m i n o a i d a o s u r i n u k e t a
69,b,b20,この喜びは、むろん、家へ帰り着いても消えずにつづいた。,このよろこびわ、むろん、いええかえりついてもきえずにつずいた。,k o n o y o r o k o b i w a # m u r o N # i e e k a e r i ts u i t e m o k i e z u n i ts u z u i t a
70,b,b21,どの部屋の意匠にも、遊び心があふれていて、楽しい。,どのへやのいしょーにも、あそびごころがあふれていて、たのしい。,d o n o h e y a n o i sh o: n i m o # a s o b i g o k o r o g a a f u r e t e i t e # t a n o sh i i
71,b,b22,飛ぶ自由を得ることは、人類の夢だった。,とぶじゆーをえることわ、じんるいのゆめだった。,t o b u j i y u: o e r u k o t o w a # j i N r u i n o y u m e d a q t a
72,b,b23,育ちのよい坊ちゃんのよさと、逆境に育った人間の強さ。,そだちのよいぼっちゃんのよさと、ぎゃっきょーにそだったにんげんのつよさ。,s o d a ch i n o y o i b o q ch a N n o y o s a t o # gy a q ky o: n i s o d a q t a n i N g e N n o ts u y o s a
73,b,b24,初めて、ルーブル美術館へ入ったのは、十四年前のことだ。,はじめて、るーぶるびじゅつかんえはいったのわ、じゅーよんねんまえのことだ。,h a j i m e t e # r u: b u r u b i j u ts u k a N e h a i q t a n o w a # j u: y o N n e N m a e n o k o t o d a
74,b,b25,自分の実力は、自分が一番よく知っているはずだ。,じぶんのじつりょくわ、じぶんがいちばんよくしっているはずだ。,j i b u N n o j i ts u ry o k u w a # j i b u N g a i ch i b a N y o k u sh i q t e i r u h a z u d a
75,b,b26,茶色の眼は、柔和なかがやきをおびていた。,ちゃいろのめわ、にゅーわなかがやきをおびていた。,ch a i r o n o m e w a # ny u: w a n a k a g a y a k i o o b i t e i t a
76,b,b27,今流行の、単身赴任族の淋しさを、ちょっぴり味わわせてもらったのも、有意義な体験だ。,いまりゅーこーの、たんしんふにんぞくのさびしさを、ちょっぴりあじわわせてもらったのも、ゆーいぎなたいけんだ。,i m a ry u: k o: n o # t a N sh i N f u n i N z o k u n o s a b i sh i s a o # ch o q p i r i a j i w a w a s e t e m o r a q t a n o m o # y u: i g i n a t a i k e N d a
77,b,b28,やはり無表情のまま、何もことばがありません。,やはりむひょーじょーのまま、なにもことばがありません。,y a h a r i m u hy o: j o: n o m a m a # n a n i m o k o t o b a g a a r i m a s e N
78,b,b29,生きた潤滑油です。,いきたじゅんかつゆです。,i k i t a j u N k a ts u y u d e s u
79,b,b30,彼の数学の授業は、抜群に面白く、試験前には、月給外補習授業をするほど、熱心である。,かれのすーがくのじゅぎょーわ、ばつぐんにおもしろく、しけんまえにわ、げっきゅーがいほしゅーじゅぎょーをするほど、ねっしんである。,k a r e n o s u: g a k u n o j u gy o: w a # b a ts u g u N n i o m o sh i r o k u # sh i k e N m a e n i w a # g e q ky u: g a i h o sh u: j u gy o: o s u r u h o d o # n e q sh i N d e a r u
80,b,b31,そうでなくても、寿司屋の職人は、減らず口をききたがる人間が多い。,そーでなくても、すしやのしょくにんわ、へらずぐちをききたがるにんげんがおーい。,s o: d e n a k u t e m o # s u sh i y a n o sh o k u n i N w a # h e r a z u g u ch i o k i k i t a g a r u n i N g e N g a o: i
81,b,b32,リードが大きければ、牽制球を投げなければならない。,りーどがおーきければ、けんせいきゅーをなげなければならない。,r i: d o g a o: k i k e r e b a # k e N s e i ky u: o n a g e n a k e r e b a n a r a n a i
82,b,b33,アメリカが風邪をひけば、日本もクシャミをする、といわれる程で、日本経済も不況です。,あめりかがかぜをひけば、にっぽんもくしゃみをする、といわれるほどで、にっぽんけいざいもふきょーです。,a m e r i k a g a k a z e o h i k e b a # n i q p o N m o k u sh a m i o s u r u # t o i w a r e r u h o d o d e # n i q p o N k e i z a i m o f u ky o: d e s u
83,b,b34,ラッパも鳴らないし、笛も鳴らないが、ぞろぞろと起き出し、洗面所へゆく。,らっぱもならないし、ふえもならないが、ぞろぞろとおきだし、せんめんじょえゆく。,r a q p a m o n a r a n a i sh i # f u e m o n a r a n a i g a # z o r o z o r o t o o k i d a sh i # s e N m e N j o e y u k u
84,b,b35,主人に甘え、社会に甘え、自分に甘えて、ぬるま湯に、どっぷり浸っている。,しゅじんにあまえ、しゃかいにあまえ、じぶんにあまえて、ぬるまゆに、どっぷりひたっている。,sh u j i N n i a m a e # sh a k a i n i a m a e # j i b u N n i a m a e t e # n u r u m a y u n i # d o q p u r i h i t a q t e i r u
